MPN,ICT P/N,DESC,Manufacturer,Group,WH PIC
CR10-6041-FK,13000-S230109H-00,"RES,0402,6.04Kohm,1%,1/16W,HF,ASJ",ASJ,0-RES電阻類,A01
MS05W2F100MT5E,13000-S040120H-00,"RES,10mΩ,±1%,0805,1/2W,HF,Uniohm",UNIOHM,0-RES電阻類,A01
NCP15WF104F03RC,13001-S070003H-00,"NTC,S,0402,100Kohm,1%,HF,MURATA",MURATA,0-RES電阻類,A01
NCP15XW682E03RC,13001-S070010H-00,"NTC,0402,6.8K,3%,NCP15XW682E03RC,MURATA",MURATA,0-RES電阻類,A01
NTCG104EF104FT1X,13001-S0D0001H-00,"NTC,S,0402,100K,HF,TDK",TDK,0-RES電阻類,A01
PE0603FRE570R01Z,13000-S000854H-00,"RES,10mohm,1/5W,1%,0603,HF",YAGEO,0-RES電阻類,A01
PE1206FRF7W0R005L,13000-S000156H-00,"RES,1206,5mΩ,1%,1/2W,HF,Yageo",YAGEO,0-RES電阻類,A01
RC0201FR-07100KL,13000-S000041H-00,"0201,100K,1%,RC0201FR-07100KL,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-07100RL,13000-S000052H-00,"RES,0201,100R,1%,RC0201FR-07100RL,HF",YAGEO,0-RES電阻類,A02
RC0201FR-0710KL,13000-S000044H-00,"0201,10K,1%,1/20W,RC0201FR-0710KL,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-07113RL,13000-S001493H-00,"RES,0201,113R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-07121RL,13000-S001486H-00,"RES,0201,121R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-07150RL,13000-S001484H-00,"RES,0201,150R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-0716K9L,13000-S001194H-00,"16.9K,1%,0201,RC0201FR-0716K9L,YAGEO,HF",YAGEO,0-RES電阻類,A02
RC0201FR-071KL,13000-S000353H-00,"RES,1KΩ,±1%,0201,RC0201FR-071KL,HF,YAGEO",YAGEO,0-RES電阻類,A02
RC0201FR-07200KL,13000-S000039H-00,"0201,200K,1%,RC0201FR-07200KL,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-07200RL,13000-S000773H-00,"RES,0201,200R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-0720KL,13000-S000123H-00,"RES,20K,0201,RC0201FR-0720KL,Yageo,HF",YAGEO,0-RES電阻類,A03
RC0201FR-07220kL,13000-S000596H-00,"RES,0201,220K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-0722RL,13000-S000819H-00,"0201,22R,1%,1/20W,RC0201FR-0722RL,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-07240RL,13000-S000053H-00,"0201,240R,1%,RC0201FR-07240RL,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-072K2L,13000-S000770H-00,"RES,0201,2.2K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-07330KL,13000-S001490H-00,"RES,0201,330K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-0733RL,13000-S001494H-00,"RES,0201,33R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-073K32L,13000-S000780H-00,"RES,0201,3.32K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A03
RC0201FR-07470RL,13000-S001244H-00,RES 470ohm 1/20w 1% 0201,YAGEO,0-RES電阻類,A04
RC0201FR-0747KL,13000-S000575R-00,RES 47K/0201/±1% YAGEO,YAGEO,0-RES電阻類,A04
RC0201FR-07499RL,13000-S000525H-00,"RES,0201,499 ohm,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0749R9L,13000-S000927H-00,"RES,50R±1%/0201/?1/20W,ROHS,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-074K75L,13000-S001487H-00,"RES,0201,4.75K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0751RL,13000-S001306H-00,"RES,0201,51Ω,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0756RL,13000-S001492H-00,"RES,0201,56R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0760R4L,13000-S001295H-00,"RES,0201,60.4R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0762RL,13000-S001491H-00,"RES,0201,62R,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-076K2L,13000-S000790H-00,"RES,0201,6.2K,1%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201FR-0775KL,13000-S000117H-00,"RES,0201,75K,1%,RC0201FR-0775KL,HF,YAGEO",YAGEO,0-RES電阻類,A04
RC0201JR-070RL,13000-S000952H-00,"0201,0R,5%,1/20W,RC0201JR-070RL,YAGEO",YAGEO,0-RES電阻類,A05
RC0201JR-07100KL,13000-S00000TH-00,"0201,100K,5%,RC0201JR-07100KL,YAGEO",YAGEO,0-RES電阻類,A05
RC0201JR-07100RL,13000-S000807H-00,"RES:0201,100R,5%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A05
RC0201JR-0715RL,13000-S000871H-00,"RES,15ohm,1/20w,5%,0201,HF",YAGEO,0-RES電阻類,A05
RC0201JR-071KL,13000-S000047H-00,"0201,1K,5%,1/20W,RC0201JR-071KL,YAGEO",YAGEO,0-RES電阻類,A05
RC0201JR-072K2L,13000-S000413H-00,"RES,0201,2.2K,5%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A05
RC0201JR-072R2L,13000-S001210H-00,RES 2.2ohm 1/20w 5% 0201,YAGEO,0-RES電阻類,A05
RC0201JR-0743RL,13000-S001489H-00,"RES,0201,43R,5%,1/20W,HF,YAGEO",YAGEO,0-RES電阻類,A06
RC0201JR-07470RL,13000-S001170H-00,"RES,470 OHM,5%,0201,HF,YAGEO",YAGEO,0-RES電阻類,A06
RC0201JR-0747KL,13000-S000038H-00,"0201,47K,5%,1/20W,RC0201JR-0747KL,YAGEO",YAGEO,0-RES電阻類,A06
